active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.21,1,10.925,0.04620226022683911,0.0,0.11666666666666667,240.0,2.5,8,12,15,0.99,0.89,15,0.25,0.8155844044224533,120,0.87,0.056,17.4,8,6,20,250,-1.0,0,800,800,600,True,0.68,0.68,0.971,0.74,0.61,0.53,-0.40648220321991413,40,0,28,2.33,1,0.29,0.51
0.15,1,2.675,0.010184626633094414,0.0,0.041666666666666664,60.0,2.5,8,-1,10,0.99,0.95,15,0.13,7.152879616955871,120,0.81,0.105,27.1,8,6,50,238,0.9,1,480,640,300,True,0.59,0.63,0.993,0.94,0.51,0.51,-0.08699102001678612,40,0,29,2.49,0,0.4,0.55
0.2,0,6.391666666666667,0.015120921929677325,0.0,0.016666666666666666,45.0,-1.0,8,12,10,0.98,0.9,25,0.22,0.8345285827035407,120,0.76,0.012,16.7,8,6,50,238,0.95,0,540,1280,600,True,0.74,0.8,0.936,0.66,0.52,0.6,-0.2953562057018281,20,1,30,1.33,1,0.39,0.47
0.09,1,3.4583333333333335,0.027576643837586286,22.908333333333335,0.175,120.0,2.5,-1,12,10,0.95,0.94,20,0.13,0.7925385229410163,120,0.8,0.047,30.6,8,6,50,238,0.95,0,540,800,300,True,0.56,0.67,0.951,0.93,0.58,0.63,-0.007036678081206865,40,1,31,3.37,1,0.19,0.59
0.23,1,6.441666666666666,0.028206816754407348,14.675,0.14166666666666666,45.0,-1.0,8,12,15,0.97,0.92,15,0.18,5.81298492384217,120,0.83,0.049,27.5,8,6,50,240,0.9,0,800,1280,600,True,0.71,0.66,0.984,0.65,0.6,0.46,-0.1809882582894631,20,0,32,2.95,0,0.34,0.57
0.23,1,2.408333333333333,0.019046968043678333,76.85,0.041666666666666664,60.0,2.0,8,12,12,0.97,0.98,20,0.2,0.7541820060810462,120,0.87,0.086,14.8,8,6,50,245,-1.0,0,720,1280,256,True,0.62,0.69,0.935,0.83,0.58,0.45,-0.1460765159781609,20,1,33,3.26,1,0.25,0.56
0.13,0,11.825,0.05327064923114247,31.333333333333332,0.1,120.0,2.0,-1,12,12,0.97,0.88,20,0.12,5.418416138044795,120,0.85,0.023,15.0,8,6,50,240,0.8,0,540,640,300,True,0.6,0.65,0.986,0.73,0.56,0.6,-0.4959480087177621,40,1,34,3.37,0,0.31,0.54
0.14,1,0.0,0.0,0.0,0.0,60.0,-1.0,8,8,8,0.99,0.96,12,0.14,0.8386954903232057,120,0.78,0.07,25.3,8,6,50,250,0.95,1,540,1280,400,True,0.69,0.66,0.988,0.63,0.55,0.5,0.0,20,0,35,2.81,1,0.26,0.47
0.23,1,3.1083333333333334,0.009086679460273845,119.0,0.06666666666666667,60.0,2.5,12,12,12,0.94,0.95,15,0.16,0.7533136235344844,120,0.79,0.029,12.0,8,6,60,240,-1.0,0,480,800,256,True,0.54,0.87,0.985,0.65,0.54,0.52,-0.20320666026986312,40,0,36,3.39,1,0.34,0.59
0.2,1,6.341666666666667,0.015645757710768114,27.75,0.016666666666666666,120.0,2.5,8,8,5,0.95,0.93,12,0.13,0.786913612032957,120,0.85,0.069,17.5,8,6,60,238,0.9,1,480,1280,300,True,0.62,0.79,0.945,0.67,0.52,0.58,-0.32034378781128264,40,0,37,2.65,1,0.39,0.54
0.22,0,3.316666666666667,0.01661954903354247,0.0,0.058333333333333334,45.0,2.0,-1,12,12,0.99,0.97,12,0.18,6.212214774350137,120,0.77,0.11,18.3,8,6,60,238,0.7,1,480,640,600,True,0.55,0.75,0.96,0.75,0.65,0.5,-0.09919022548322869,30,1,38,2.3,0,0.34,0.48
0.21,1,11.341666666666667,0.026127555759416676,50.3,0.03333333333333333,45.0,2.5,-1,8,5,0.96,0.89,12,0.2,0.7819749747925033,120,0.77,0.071,20.8,8,6,60,238,0.8,1,720,960,600,True,0.58,0.77,0.964,0.86,0.46,0.61,-0.5709862221202919,30,0,39,1.7,1,0.33,0.5
0.25,1,8.741666666666667,0.02613995652645826,49.541666666666664,0.05,60.0,2.5,-1,-1,5,0.96,0.91,15,0.1,0.7340306495349085,120,0.9,0.031,31.4,8,6,20,245,0.8,1,480,640,400,True,0.53,0.73,0.965,0.82,0.48,0.47,-0.42355502173677073,30,1,40,1.24,1,0.32,0.51
0.22,1,6.275,0.02562922860185305,19.008333333333333,0.25,60.0,-1.0,12,8,12,0.95,0.93,15,0.13,5.616774834306941,120,0.79,0.087,15.4,8,6,20,240,0.9,0,480,960,400,True,0.74,0.88,0.989,0.89,0.48,0.58,-0.06994371903240681,30,0,41,1.82,0,0.22,0.55
0.22,0,3.4833333333333334,0.01666355642179648,0.0,0.09166666666666666,60.0,2.0,8,-1,8,0.97,0.92,12,0.12,0.7477433756915863,120,0.89,0.088,26.5,8,6,30,245,0.95,1,720,800,256,True,0.57,0.68,0.996,0.79,0.62,0.54,-0.0741682217891018,20,1,42,2.32,1,0.27,0.54
0.08,0,11.383333333333333,0.04435970387160383,113.04166666666667,0.26666666666666666,120.0,2.5,12,12,15,0.97,0.9,12,0.25,5.476073692547798,120,0.81,0.017,29.4,8,6,50,238,-1.0,0,540,800,600,True,0.73,0.8,0.974,0.8,0.47,0.61,-0.3933618147308647,30,1,43,3.08,0,0.19,0.55
0.11,1,4.666666666666667,0.015278377726614945,1.9083333333333334,0.15833333333333333,60.0,2.0,8,8,5,0.97,0.94,20,0.11,5.02003189456064,120,0.78,0.079,23.8,8,6,50,245,0.9,1,540,1280,300,True,0.64,0.85,0.958,0.9,0.65,0.55,-0.06926914447002591,30,0,44,3.17,0,0.19,0.55
0.12,1,11.3,0.03823111529151599,242.65833333333333,0.14166666666666666,120.0,2.0,8,-1,15,0.96,0.88,12,0.25,5.44720004794851,120,0.78,0.093,23.3,8,6,50,245,0.7,0,800,640,300,True,0.67,0.65,0.963,0.62,0.55,0.64,-0.6468761090209089,40,0,45,3.23,0,0.38,0.47
0.18,0,0.0,0.0003876264765858654,7.866666666666666,0.0,120.0,2.5,-1,12,8,0.96,0.98,20,0.2,0.7808913501443201,120,0.9,0.026,21.0,8,6,60,238,0.95,1,720,640,256,True,0.58,0.79,0.938,0.86,0.5,0.65,-0.007672853428373735,20,1,46,2.07,1,0.19,0.55
0.13,1,0.0,0.0,0.0,0.0,240.0,-1.0,8,8,5,0.98,0.98,30,0.2,5.449653831089477,120,0.75,0.019,33.4,8,6,60,238,0.95,1,800,960,256,True,0.65,0.84,0.963,0.76,0.49,0.58,0.0,20,1,47,1.35,0,0.36,0.5
0.17,1,5.816666666666666,0.025632311610711948,0.0,0.125,45.0,2.5,8,-1,10,0.99,0.93,20,0.23,5.701577233678056,120,0.88,0.018,28.7,8,6,20,245,0.9,0,540,960,300,True,0.74,0.89,0.97,0.79,0.56,0.48,-0.1530171775279773,40,0,48,2.52,0,0.34,0.49
0.14,1,11.066666666666666,0.01721583152396811,59.5,0.025,60.0,2.0,-1,-1,5,0.94,0.92,15,0.23,0.7621172735613511,120,0.87,0.084,10.6,8,6,60,250,0.8,1,540,640,600,True,0.56,0.62,0.945,0.83,0.61,0.59,-0.5792254175713494,40,1,49,1.64,1,0.37,0.6
0.23,1,7.25,0.020567085076537393,18.383333333333333,0.025,60.0,2.0,8,8,10,0.97,0.93,20,0.14,0.7734988787830045,120,0.79,0.08,12.7,8,6,50,250,0.9,1,800,960,600,True,0.7,0.78,0.994,0.82,0.55,0.49,-0.34559979079506464,40,0,50,3.19,1,0.36,0.46
