active_healthy_thr,auto_baseline,avg_active,avg_conf_gain,avg_mask_nz,avg_new,baseline_every_s,clahe_clip,clahe_tile_h,clahe_tile_w,dead_val,decay_pixel,decay_tile,delta_thresh,ewma_alpha,fps,frames,freeze_margin,global_min_edges,global_min_lap,grid_x,grid_y,healthy_deactivate,hot_val,init_min_score,limit_resolution,max_h,max_w,min_tile_area,ok,persist_mask_thr,persistence_hi,pixel_mask_decay,ratio_contr,ratio_edge,ratio_lap,score,seq_len,start_with_grid,trial,var_thresh,weather_on,yolo_conf,yolo_iou
0.1,0,17.108333333333334,0.012405529080165756,0.0,0.08333333333333333,120.0,-1.0,12,-1,15,0.99,0.94,25,0.21,3.5020086350317965,120,0.88,0.068,25.5,8,6,20,250,-1.0,1,800,1280,400,True,0.67,0.72,0.937,0.61,0.56,0.64,-0.7658805687932518,40,1,42,1.78,1,0.25,0.58
0.09,0,12.783333333333333,0.02069017527004083,0.0,0.041666666666666664,240.0,2.0,12,-1,5,0.95,0.9,20,0.2,3.497303554681775,120,0.92,0.061,24.6,8,6,50,238,0.95,1,720,800,400,True,0.61,0.84,0.996,0.66,0.57,0.55,-0.5871549123649802,30,0,43,1.61,1,0.38,0.6
0.19,1,15.358333333333333,0.01450133905228641,0.0,0.05,60.0,2.5,8,-1,15,0.98,0.91,25,0.16,3.538415366273053,120,0.85,0.1,36.7,8,6,20,250,0.8,0,720,960,300,True,0.58,0.64,0.979,0.61,0.62,0.51,-0.710665997140524,30,1,44,1.66,1,0.26,0.5
0.22,0,5.925,0.003252053670585155,0.0,0.025,240.0,-1.0,8,8,5,0.96,0.94,15,0.15,3.6011325573844366,120,0.81,0.084,38.5,8,6,60,250,0.95,0,720,640,400,True,0.71,0.86,0.961,0.79,0.52,0.55,-0.26962397316470726,40,1,45,2.65,1,0.2,0.47
0.09,1,11.683333333333334,0.003204967656010201,0.0,0.075,60.0,2.5,8,-1,15,0.99,0.97,20,0.21,3.577610600150792,120,0.83,0.081,25.1,8,6,60,238,0.7,0,800,800,400,True,0.75,0.61,0.992,0.7,0.47,0.64,-0.507564182838662,30,0,46,1.26,1,0.19,0.56
0.17,0,12.408333333333333,0.01916451605243815,0.0,0.05,45.0,2.5,12,12,8,0.96,0.89,12,0.22,3.5809407697781626,120,0.88,0.102,36.4,8,6,30,245,0.95,0,480,640,400,True,0.72,0.8,0.991,0.85,0.62,0.48,-0.560834408640448,40,1,47,2.55,1,0.36,0.59
0.14,0,0.0,0.0,0.0,0.0,60.0,-1.0,-1,12,5,0.97,0.92,30,0.07,7.527390361346428,120,0.83,0.095,8.4,8,6,60,240,0.8,0,800,640,256,True,0.59,0.81,0.978,0.93,0.63,0.58,0.0,40,0,48,1.7,0,0.24,0.51
0.21,0,17.216666666666665,0.024138652077979512,0.0,0.075,45.0,2.0,12,12,10,0.96,0.92,25,0.12,3.518021651865027,120,0.83,0.01,37.3,8,6,60,245,-1.0,1,480,960,400,True,0.52,0.72,0.986,0.8,0.58,0.56,-0.7737640072943436,20,1,49,2.66,1,0.35,0.57
0.13,0,0.0,0.0,0.0,0.0,120.0,2.0,8,12,10,0.96,0.95,20,0.07,7.134524576122757,120,0.9,0.038,32.4,8,6,30,245,0.7,1,480,1280,400,True,0.7,0.8,0.941,0.74,0.55,0.62,0.0,40,1,50,1.41,0,0.37,0.56
0.21,0,20.2,0.010450329285942844,0.0,0.14166666666666666,60.0,2.5,8,-1,10,0.98,0.92,25,0.08,3.5990885629894853,120,0.86,0.073,18.5,8,6,30,240,0.7,0,800,800,600,True,0.56,0.73,0.986,0.79,0.56,0.64,-0.8631081686903616,20,0,51,1.75,1,0.21,0.52
0.16,1,0.0,0.0,0.0,0.0,45.0,2.0,8,12,5,0.99,0.9,20,0.1,7.240385961936783,120,0.88,0.042,22.5,8,6,50,238,0.7,0,540,800,300,True,0.72,0.89,0.948,0.68,0.59,0.64,0.0,30,0,52,3.34,0,0.2,0.5
0.15,0,7.925,0.014199014566838742,0.0,0.058333333333333334,60.0,-1.0,8,-1,15,0.98,0.95,15,0.19,3.6382947878633844,120,0.91,0.085,24.2,8,6,50,245,0.9,0,480,1280,256,True,0.56,0.66,0.959,0.62,0.62,0.52,-0.33081715938324713,30,0,53,2.59,1,0.4,0.6
0.2,1,0.43333333333333335,0.0077908466259638464,0.0,0.025,45.0,2.5,-1,12,15,0.95,0.98,20,0.06,3.5733805595761967,120,0.9,0.048,9.4,8,6,30,240,-1.0,1,800,1280,256,True,0.6,0.9,0.955,0.86,0.6,0.54,0.007228756646315254,30,1,54,2.26,1,0.37,0.46
0.1,1,0.0,0.0,0.0,0.0,240.0,2.5,12,-1,5,0.97,0.97,12,0.2,7.187760990509296,120,0.81,0.101,25.3,8,6,30,245,0.7,0,800,800,400,True,0.75,0.69,0.947,0.74,0.47,0.55,0.0,40,0,55,2.03,0,0.23,0.59
0.17,0,0.0,0.0,0.0,0.0,240.0,2.0,12,8,5,0.95,0.95,30,0.25,7.270908757994506,120,0.81,0.078,22.8,8,6,60,245,0.8,1,540,640,256,True,0.69,0.86,0.935,0.65,0.52,0.61,0.0,30,1,56,1.57,0,0.2,0.5
